dataset,horizon,model_combination,split,model_type,metric,value
ETT-small_ETTh1,336,DLinear-DLinear,test,Student_RDT,mae,2.257046
ETT-small_ETTh1,336,DLinear-DLinear,test,Student_RDT,mse,8.209436
ETT-small_ETTh1,336,DLinear-DLinear,test,Student_RDT,mape,15178174.000000
ETT-small_ETTh1,336,DLinear-DLinear,test,Student_RDT,wape,27.576382
ETT-small_ETTh1,336,DLinear-DLinear,train,Student_Follower,mae,2.976609
ETT-small_ETTh1,336,DLinear-DLinear,train,Student_Follower,mse,14.756408
ETT-small_ETTh1,336,DLinear-DLinear,train,Student_Follower,mape,4232147.500000
ETT-small_ETTh1,336,DLinear-DLinear,train,Student_Follower,wape,17.845367
ETT-small_ETTh1,336,DLinear-DLinear,val,Student_Follower,mae,2.046906
ETT-small_ETTh1,336,DLinear-DLinear,val,Student_Follower,mse,6.786879
ETT-small_ETTh1,336,DLinear-DLinear,val,Student_Follower,mape,51262992.000000
ETT-small_ETTh1,336,DLinear-DLinear,val,Student_Follower,wape,36.865601
ETT-small_ETTh1,336,DLinear-DLinear,test,Student_Follower,mae,2.262873
ETT-small_ETTh1,336,DLinear-DLinear,test,Student_Follower,mse,8.246011
ETT-small_ETTh1,336,DLinear-DLinear,test,Student_Follower,mape,15048827.000000
ETT-small_ETTh1,336,DLinear-DLinear,test,Student_Follower,wape,27.647573
ETT-small_ETTh1,720,DLinear-DLinear,train,Teacher,mae,3.236969
ETT-small_ETTh1,720,DLinear-DLinear,train,Teacher,mse,17.260862
ETT-small_ETTh1,720,DLinear-DLinear,train,Teacher,mape,5257506.000000
ETT-small_ETTh1,720,DLinear-DLinear,train,Teacher,wape,19.765251
ETT-small_ETTh1,720,DLinear-DLinear,val,Teacher,mae,2.822875
ETT-small_ETTh1,720,DLinear-DLinear,val,Teacher,mse,12.413112
ETT-small_ETTh1,720,DLinear-DLinear,val,Teacher,mape,68238472.000000
ETT-small_ETTh1,720,DLinear-DLinear,val,Teacher,wape,52.965858
ETT-small_ETTh1,720,DLinear-DLinear,test,Teacher,mae,2.446117
ETT-small_ETTh1,720,DLinear-DLinear,test,Teacher,mse,9.241791
ETT-small_ETTh1,720,DLinear-DLinear,test,Teacher,mape,13756902.000000
ETT-small_ETTh1,720,DLinear-DLinear,test,Teacher,wape,29.226318
ETT-small_ETTh1,720,DLinear-DLinear,train,Student_TaskOnly,mae,3.236973
ETT-small_ETTh1,720,DLinear-DLinear,train,Student_TaskOnly,mse,17.260866
ETT-small_ETTh1,720,DLinear-DLinear,train,Student_TaskOnly,mape,5257504.500000
ETT-small_ETTh1,720,DLinear-DLinear,train,Student_TaskOnly,wape,19.765285
ETT-small_ETTh1,720,DLinear-DLinear,val,Student_TaskOnly,mae,2.822875
ETT-small_ETTh1,720,DLinear-DLinear,val,Student_TaskOnly,mse,12.413112
ETT-small_ETTh1,720,DLinear-DLinear,val,Student_TaskOnly,mape,68238472.000000
ETT-small_ETTh1,720,DLinear-DLinear,val,Student_TaskOnly,wape,52.965858
ETT-small_ETTh1,720,DLinear-DLinear,test,Student_TaskOnly,mae,2.446117
ETT-small_ETTh1,720,DLinear-DLinear,test,Student_TaskOnly,mse,9.241791
ETT-small_ETTh1,720,DLinear-DLinear,test,Student_TaskOnly,mape,13756902.000000
ETT-small_ETTh1,720,DLinear-DLinear,test,Student_TaskOnly,wape,29.226318
ETT-small_ETTh1,720,DLinear-DLinear,train,Student_RDT,mae,3.242103
ETT-small_ETTh1,720,DLinear-DLinear,train,Student_RDT,mse,17.298969
ETT-small_ETTh1,720,DLinear-DLinear,train,Student_RDT,mape,5253429.500000
ETT-small_ETTh1,720,DLinear-DLinear,train,Student_RDT,wape,19.796600
ETT-small_ETTh1,720,DLinear-DLinear,val,Student_RDT,mae,2.784990
ETT-small_ETTh1,720,DLinear-DLinear,val,Student_RDT,mse,12.137503
ETT-small_ETTh1,720,DLinear-DLinear,val,Student_RDT,mape,67515704.000000
ETT-small_ETTh1,720,DLinear-DLinear,val,Student_RDT,wape,52.255024
ETT-small_ETTh1,720,DLinear-DLinear,test,Student_RDT,mae,2.450410
ETT-small_ETTh1,720,DLinear-DLinear,test,Student_RDT,mse,9.299291
ETT-small_ETTh1,720,DLinear-DLinear,test,Student_RDT,mape,13707546.000000
ETT-small_ETTh1,720,DLinear-DLinear,test,Student_RDT,wape,29.277613
ETT-small_ETTh1,720,DLinear-DLinear,train,Student_Follower,mae,3.237792
ETT-small_ETTh1,720,DLinear-DLinear,train,Student_Follower,mse,17.267418
ETT-small_ETTh1,720,DLinear-DLinear,train,Student_Follower,mape,5258978.000000
ETT-small_ETTh1,720,DLinear-DLinear,train,Student_Follower,wape,19.770279
ETT-small_ETTh1,720,DLinear-DLinear,val,Student_Follower,mae,2.821492
ETT-small_ETTh1,720,DLinear-DLinear,val,Student_Follower,mse,12.401444
ETT-small_ETTh1,720,DLinear-DLinear,val,Student_Follower,mape,68194192.000000
ETT-small_ETTh1,720,DLinear-DLinear,val,Student_Follower,wape,52.939911
ETT-small_ETTh1,720,DLinear-DLinear,test,Student_Follower,mae,2.446286
ETT-small_ETTh1,720,DLinear-DLinear,test,Student_Follower,mse,9.242812
ETT-small_ETTh1,720,DLinear-DLinear,test,Student_Follower,mape,13756766.000000
ETT-small_ETTh1,720,DLinear-DLinear,test,Student_Follower,wape,29.228338
ETT-small_ETTh1,96,DLinear-DLinear,train,Teacher,mae,2.554404
ETT-small_ETTh1,96,DLinear-DLinear,train,Teacher,mse,11.532043
ETT-small_ETTh1,96,DLinear-DLinear,train,Teacher,mape,4277683.000000
ETT-small_ETTh1,96,DLinear-DLinear,train,Teacher,wape,15.211670
ETT-small_ETTh1,96,DLinear-DLinear,val,Teacher,mae,1.694250
ETT-small_ETTh1,96,DLinear-DLinear,val,Teacher,mse,4.838062
ETT-small_ETTh1,96,DLinear-DLinear,val,Teacher,mape,37033152.000000
ETT-small_ETTh1,96,DLinear-DLinear,val,Teacher,wape,30.292950
ETT-small_ETTh1,96,DLinear-DLinear,test,Teacher,mae,2.064996
ETT-small_ETTh1,96,DLinear-DLinear,test,Teacher,mse,7.057677
ETT-small_ETTh1,96,DLinear-DLinear,test,Teacher,mape,13744555.000000
ETT-small_ETTh1,96,DLinear-DLinear,test,Teacher,wape,25.702337
ETT-small_ETTh1,96,DLinear-DLinear,train,Student_TaskOnly,mae,2.554404
ETT-small_ETTh1,96,DLinear-DLinear,train,Student_TaskOnly,mse,11.532040
ETT-small_ETTh1,96,DLinear-DLinear,train,Student_TaskOnly,mape,4277682.000000
ETT-small_ETTh1,96,DLinear-DLinear,train,Student_TaskOnly,wape,15.211667
ETT-small_ETTh1,96,DLinear-DLinear,val,Student_TaskOnly,mae,1.694250
ETT-small_ETTh1,96,DLinear-DLinear,val,Student_TaskOnly,mse,4.838062
ETT-small_ETTh1,96,DLinear-DLinear,val,Student_TaskOnly,mape,37033152.000000
ETT-small_ETTh1,96,DLinear-DLinear,val,Student_TaskOnly,wape,30.292950
ETT-small_ETTh1,96,DLinear-DLinear,test,Student_TaskOnly,mae,2.064996
ETT-small_ETTh1,96,DLinear-DLinear,test,Student_TaskOnly,mse,7.057677
ETT-small_ETTh1,96,DLinear-DLinear,test,Student_TaskOnly,mape,13744555.000000
ETT-small_ETTh1,96,DLinear-DLinear,test,Student_TaskOnly,wape,25.702337
ETT-small_ETTh1,96,DLinear-DLinear,train,Student_RDT,mae,2.552766
ETT-small_ETTh1,96,DLinear-DLinear,train,Student_RDT,mse,11.526427
ETT-small_ETTh1,96,DLinear-DLinear,train,Student_RDT,mape,4289428.000000
ETT-small_ETTh1,96,DLinear-DLinear,train,Student_RDT,wape,15.201918
ETT-small_ETTh1,96,DLinear-DLinear,val,Student_RDT,mae,1.686954
ETT-small_ETTh1,96,DLinear-DLinear,val,Student_RDT,mse,4.812436
ETT-small_ETTh1,96,DLinear-DLinear,val,Student_RDT,mape,37008304.000000
ETT-small_ETTh1,96,DLinear-DLinear,val,Student_RDT,wape,30.162500
ETT-small_ETTh1,96,DLinear-DLinear,test,Student_RDT,mae,2.059845
ETT-small_ETTh1,96,DLinear-DLinear,test,Student_RDT,mse,7.041776
ETT-small_ETTh1,96,DLinear-DLinear,test,Student_RDT,mape,13785336.000000
ETT-small_ETTh1,96,DLinear-DLinear,test,Student_RDT,wape,25.638233
ETT-small_ETTh1,96,DLinear-DLinear,train,Student_Follower,mae,2.554259
ETT-small_ETTh1,96,DLinear-DLinear,train,Student_Follower,mse,11.530435
ETT-small_ETTh1,96,DLinear-DLinear,train,Student_Follower,mape,4282890.000000
ETT-small_ETTh1,96,DLinear-DLinear,train,Student_Follower,wape,15.210810
ETT-small_ETTh1,96,DLinear-DLinear,val,Student_Follower,mae,1.693787
ETT-small_ETTh1,96,DLinear-DLinear,val,Student_Follower,mse,4.837070
ETT-small_ETTh1,96,DLinear-DLinear,val,Student_Follower,mape,37085076.000000
ETT-small_ETTh1,96,DLinear-DLinear,val,Student_Follower,wape,30.284674
ETT-small_ETTh1,96,DLinear-DLinear,test,Student_Follower,mae,2.064388
ETT-small_ETTh1,96,DLinear-DLinear,test,Student_Follower,mse,7.054921
ETT-small_ETTh1,96,DLinear-DLinear,test,Student_Follower,mape,13758397.000000
ETT-small_ETTh1,96,DLinear-DLinear,test,Student_Follower,wape,25.694775
ETT-small_ETTh1,192,DLinear-PatchTST,train,Teacher,mae,2.796727
ETT-small_ETTh1,192,DLinear-PatchTST,train,Teacher,mse,13.324306
ETT-small_ETTh1,192,DLinear-PatchTST,train,Teacher,mape,4219373.500000
ETT-small_ETTh1,192,DLinear-PatchTST,train,Teacher,wape,16.694511
ETT-small_ETTh1,192,DLinear-PatchTST,val,Teacher,mae,1.928566
ETT-small_ETTh1,192,DLinear-PatchTST,val,Teacher,mse,6.291074
ETT-small_ETTh1,192,DLinear-PatchTST,val,Teacher,mape,52182992.000000
ETT-small_ETTh1,192,DLinear-PatchTST,val,Teacher,wape,34.462894
ETT-small_ETTh1,192,DLinear-PatchTST,test,Teacher,mae,2.208687
ETT-small_ETTh1,192,DLinear-PatchTST,test,Teacher,mse,8.052228
ETT-small_ETTh1,192,DLinear-PatchTST,test,Teacher,mape,15258539.000000
ETT-small_ETTh1,192,DLinear-PatchTST,test,Teacher,wape,27.279171
ETT-small_ETTh1,192,DLinear-PatchTST,train,Student_TaskOnly,mae,2.442285
ETT-small_ETTh1,192,DLinear-PatchTST,train,Student_TaskOnly,mse,10.273969
ETT-small_ETTh1,192,DLinear-PatchTST,train,Student_TaskOnly,mape,3942323.250000
ETT-small_ETTh1,192,DLinear-PatchTST,train,Student_TaskOnly,wape,14.578737
ETT-small_ETTh1,192,DLinear-PatchTST,val,Student_TaskOnly,mae,1.930096
ETT-small_ETTh1,192,DLinear-PatchTST,val,Student_TaskOnly,mse,6.277431
ETT-small_ETTh1,192,DLinear-PatchTST,val,Student_TaskOnly,mape,48676040.000000
ETT-small_ETTh1,192,DLinear-PatchTST,val,Student_TaskOnly,wape,34.490234
ETT-small_ETTh1,192,DLinear-PatchTST,test,Student_TaskOnly,mae,2.359596
ETT-small_ETTh1,192,DLinear-PatchTST,test,Student_TaskOnly,mse,9.446358
ETT-small_ETTh1,192,DLinear-PatchTST,test,Student_TaskOnly,mape,14445418.000000
ETT-small_ETTh1,192,DLinear-PatchTST,test,Student_TaskOnly,wape,29.143026
ETT-small_ETTh1,192,DLinear-PatchTST,train,Student_RDT,mae,2.266822
ETT-small_ETTh1,192,DLinear-PatchTST,train,Student_RDT,mse,8.777102
ETT-small_ETTh1,192,DLinear-PatchTST,train,Student_RDT,mape,3547008.750000
ETT-small_ETTh1,192,DLinear-PatchTST,train,Student_RDT,wape,13.531346
ETT-small_ETTh1,192,DLinear-PatchTST,val,Student_RDT,mae,1.863799
ETT-small_ETTh1,192,DLinear-PatchTST,val,Student_RDT,mse,5.842623
ETT-small_ETTh1,192,DLinear-PatchTST,val,Student_RDT,mape,48632776.000000
ETT-small_ETTh1,192,DLinear-PatchTST,val,Student_RDT,wape,33.305542
ETT-small_ETTh1,192,DLinear-PatchTST,test,Student_RDT,mae,2.322551
ETT-small_ETTh1,192,DLinear-PatchTST,test,Student_RDT,mse,9.129581
ETT-small_ETTh1,192,DLinear-PatchTST,test,Student_RDT,mape,14170109.000000
ETT-small_ETTh1,192,DLinear-PatchTST,test,Student_RDT,wape,28.685486
ETT-small_ETTh1,192,DLinear-PatchTST,train,Student_Follower,mae,2.809558
ETT-small_ETTh1,192,DLinear-PatchTST,train,Student_Follower,mse,13.468099
ETT-small_ETTh1,192,DLinear-PatchTST,train,Student_Follower,mape,4284748.000000
ETT-small_ETTh1,192,DLinear-PatchTST,train,Student_Follower,wape,16.771109
ETT-small_ETTh1,192,DLinear-PatchTST,val,Student_Follower,mae,1.905168
ETT-small_ETTh1,192,DLinear-PatchTST,val,Student_Follower,mse,6.118334
